Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Cummins to Kohli, FOUR," a delightful pull shot over mid-wicket and that's the 100th 50+ score for Virat Kohli in 236 innings. Short ball, but wasn't high enough to trouble the batsman"
Cummins to Rohit, 1 run, goes back and steers it to third man
Cummins to Kohli, leg byes," 1 run, Kohli gets inside the line and tries to tickle this fine, misses and it rolls to the left of the keeper off the pad, was going down though"
Zampa to Kohli, 1 run," shortish delivery, Kohli cuts square of the wicket"
Zampa to Kohli, no run," googly and Kohli didn't read that, he was looking for the ball turn away on his defence, but it came in and took the edge, rolled towards the on-side"
Zampa to Rohit, 1 run," advances and yorks himself, but manages to dig it out to long-off"
Zampa to Kohli, 1 run," really full again, driven wide of long-off"
Zampa to Kohli, no run," flighted delivery, Kohli drives to short cover"
Zampa to Rohit, 1 run," on the stumps, Rohit drives to long-on"
Cummins to Rohit, 1 run," short of length delivery outside off stump, Rohit guides to third man"
Cummins to Kohli, 1 run, picked away off the pads to deep backward square leg
Cummins to Rohit, 1 run," shortish delivery outside off stump, Rohit guides to third man"
Cummins to Kohli, 1 run," short ball, Kohli mistimes the pull to deep mid-wicket, angry with himself for missing out"
Cummins to Kohli, FOUR," short and wide outside off stump, Kohli waits and smashes it hard wide of cover. Poor ball and punished"
Cummins to Rohit, 1 run," shortish and on the leg stump, Rohit works it to square leg"
Pat Cummins [5.0-0-43-0] is back into the attack, 1 run," shortish and on the leg stump, Rohit works it to square leg"
Zampa to Rohit, 1 run, advances and drives this flighted delivery to long-on
Zampa to Kohli, 1 run," on the leg stump, Kohli flicks to mid-wicket"
Zampa to Rohit, 1 run, glanced to fine leg
Zampa to Rohit, no run," googly spinning down leg, hit on the pad but missing leg"
Zampa to Kohli, 1 run," very full and on the off stump, Kohli drives towards long-off"
Zampa to Kohli, no run," flighted delivery on the leg stump, Kohli drives it towards short mid-wicket"
Adam Zampa [6.0-0-26-0] is back into the attack, no run," flighted delivery on the leg stump, Kohli drives it towards short mid-wicket"
Most 100+ partnerships in ODIs:26 S Tendulkar - S Ganguly20 T Dilshan - K Sangakkara18 R Sharma - V Kohli, no run," flighted delivery on the leg stump, Kohli drives it towards short mid-wicket"
Hazlewood to Kohli, 1 run, nudges to fine leg and keeps strike
Hazlewood to Kohli, FOUR," bouncer on the off stump, but Kohli pulls and rolls his wrists on the shot to keep this all along the ground, no chance for fine leg or deep square leg"
Hazlewood to Rohit, 1 run, worked away to deep square leg
Hazlewood to Rohit, SIX," this is Hazlewood bowling, but he has the audacity to play an on-drive on the rise and hit it all the way. Mid-on was inside, so it was a safe hit, but the timing was insane. Kohli enjoyed that hit"
Hazlewood to Kohli, 1 run," inside edge onto pad as Kohli tries to work to leg, the ball rolls to short fine leg"
Hazlewood to Rohit, 1 run," short and on the leg stump, Rohit pulls to fine leg, wasn't timed well though"
Agar to Kohli, no run," quicker and on the stumps, defended"
Agar to Kohli, no run," on the stumps, Kohli blocks to leg"
Agar to Kohli, 2 runs," flatter delivery outside off stump, Kohli guides it to third man"
Agar to Rohit, 1 run, smartly driven along the ground to long-on
Agar to Kohli, 1 run," fullish and outside the off stump tump, Kohli drives inside-out to deep extra-cover"
Agar to Rohit, 1 run," spinning away outside off stump, Rohit drives it to long-off"
Hazlewood to Kohli, no run," Smith and his diving saves at backward point, he flew to the right to deny Kohli a boundary to this square drive"
Hazlewood to Rohit, 1 run," shortish delivery on the off stump, Rohit pulls it to deep square leg"
Hazlewood to Kohli, 1 run, moves to the off-side and cuts to sweeper cover
Most ODI 100s vs a team9 Sachin Tendulkar vs AUS9 Virat Kohli vs WI8 Sachin Tendulkar vs SL8 Virat Kohli vs SL8 Virat Kohli vs AUS8 Rohit Sharma vs AUS *, 1 run, moves to the off-side and cuts to sweeper cover
Most 100s in ODIs:49 Sachin Tendulkar43 Virat Kohli30 Ricky Ponting29 ROHIT SHARMA28 Sanath Jayasuriya27 Hashim Amla, 1 run, moves to the off-side and cuts to sweeper cover
Hazlewood to Kohli, no run, defended towards backward point
Hazlewood to Rohit, 1 run," easy steer down to third man and that's hundred number 29 in ODIs. He's hardly celebrating, just a gentle raise of the bat to acknowledge all the applause. Well, it's just another routine thing at the office for him"
Hazlewood to Rohit, 2 runs," in the airrr and just wide of the diving short mid-wicket fielder. Fullish and on the stumps, Rohit mistimes the flick, luckily he hit wide enough of the fielder. Onto 99"
Josh Hazlewood [5.0-1-10-0] is back into the attack, 2 runs," in the airrr and just wide of the diving short mid-wicket fielder. Fullish and on the stumps, Rohit mistimes the flick, luckily he hit wide enough of the fielder. Onto 99"
Agar to Rohit, 1 run," very full delivery outside off stump, Rohit drives along the ground to the left of long-off"
Agar to Rohit, no run, covers the line and keeps it out
Agar to Rohit, no run," on the off stump, Rohit defends with soft hands in front of point, Kohli yells a loud no"
Agar to Rohit, no run," uppish push as Agar flights this ball, played towards cover"
Agar to Rohit, 2 runs," leg-sidish delivery on the leg stump, Rohit sweeps behind square and comes back for the second run"
Agar to Kohli, 1 run," flighted delivery on the stumps, Kohli drives it down to long-on"
Finch to Kohli, 1 run," shortish delivery, Kohli punches it to long-on"
Finch to Rohit, 1 run, driven away to long-off
Finch to Rohit, no run," fullish and outside the off stump, blocked"
Finch to Rohit, SIX," do not bowl short to a set Rohit Sharma. This bloke reads lengths so early, waits on the back foot and baaaang, it went high into the night Luru sky into the mid-wicket stand"
Finch to Rohit, no run," on the stumps, Rohit defends off the front foot"
Finch to Kohli, 1 run," slow and on the leg stump, Kohli works it away to backward square leg"
Agar to Rohit, no run," appeal for LBW, not given, no review. Flatter delivery, Rohit was beaten on the sweep shot, this didn't turn as much as the Rahul dismissal, so it seemed to be missing leg"
Agar to Kohli, 1 run, pushed to long-off
Agar to Rohit, 1 run," oh this has gone completely in a different direction than Rohit intention. He raced down the pitch to crash the drive over cover, but the ball takes the bottom of the bat and rolls to mid-on"
Agar to Rohit, no run," quicker and on the stumps, Rohit defends"
Agar to Rohit, no run," on the leg stump, Rohit works it to mid-wicket"
Agar to Kohli, 1 run," really full ball, hit hard into the pitch and at the bowler, Agar fumbles and has hurt his right hand in the process"
Ashton Agar [5.0-0-16-1] is back into the attack, 1 run," really full ball, hit hard into the pitch and at the bowler, Agar fumbles and has hurt his right hand in the process"
Zampa to Rohit, no run, pushed back to the bowler
Zampa to Rohit, no run," fuller in length, Rohit defends"
Zampa to Rohit, SIX," this is what batting is all about. Play smartly when the ball is not there to hit, but immediately pounce onto it when the opportunity presents. Rank long hop and Rohit was back in a flash to get into position to execute that handsome pull over mid-wicket"
Zampa to Rohit, no run, Rohit taps this into the pitch
Zampa to Kohli, 1 run," shortish delivery, Kohli punches it to long-on"
Zampa to Kohli, no run," googly outside off stump, Kohli pushes it towards cover"
Starc to Kohli, 1 run," nope! Short again, Kohli stands tall and guides to third man"
Starc to Kohli, no run," another short delivery, Kohli hops and defends. Is he setting him up for a full ball?"
Starc to Kohli, no run," beaten! Kohli tries to cut hard at this shortish delivery, he was off balance and that is why Kohli didn't connect"
Starc to Kohli, no run," shortish delivery, Kohli defends with soft hands, ball rolls behind the pitch"
Starc to Rohit, 1 run, and again! But Smith dives full length to his left at backward point to save three runs. That was racing for four too
Starc to Rohit, FOUR," this is pure class! That smile on Starc's face says it all. Full and outside off stump, normally batsmen would look for a drive in front of square, but Ro waits to play the square drive, times and places it exceedingly well"
Zampa to Kohli, no run," loud LBW shout, umpire Michael Gough shakes his head. May be going down! No review from Australia. The quicker delivery from Zampa, the googly rather, Kohli was beaten on the flick, impact was middle and leg, but the angle was taking it away from the sticks"
Zampa to Rohit, 1 run, gently pushes this flighted delivery to long-off
Zampa to Rohit, no run," flighted delivery around the off stump, Rohit defends off the front foot"
Zampa to Kohli, 1 run," shortish delivery on the stumps, Kohli works it to mid-wicket"
Zampa to Rohit, 1 run," too full to trouble the batsman, driven along the ground to long-off"
Zampa to Kohli, 1 run, overpitched ball driven to long-off
Starc to Rohit, no run, oh Rohit checks his flick and luckily it drops short of the man at mid-on. Didn't want to play the shot because there was a man at short mid-wicket
Starc to Kohli, 1 run," too straight with the round the wicket angle, Kohli flicks to deep mid-wicket"
Starc to Kohli, no run," fullish and on the stumps, Kohli drives back to the bowler"
Fewest innings to 5000 ODI runs as captain:- 82 VIRAT KOHLI- 127 MS Dhoni- 131 R Ponting- 135 G Smith- 136 S Ganguly, no run," fullish and on the stumps, Kohli drives back to the bowler"
Starc to Kohli, FOUR," top shot! He walked into this drive literally. The weight transfer to this length delivery, width offered, so he plays that nicely wide of cover"
Starc to Rohit, 1 run," fullish and outside off stump, Rohit opens the face of the bat and guides it square of the wicket"
Starc to Rohit, no run, Rohit defends the first ball of Starc's new spell
Mitchell Starc [2.0-0-16-0] is back into the attack, no run, Rohit defends the first ball of Starc's new spell
Zampa to Rohit, 1 run," very full on the off stump, Rohit turns it to deep mid-wicket"
Zampa to Kohli, 1 run, gentle drive to long-on
Zampa to Rohit, 1 run, driven down to long-off
Zampa to Kohli, 1 run," shortish and on the stumps, Kohli works it to deep mid-wicket"
Zampa to Kohli, no run, covers the line and keeps it out
Zampa to Rohit, 1 run," flighted delivery on the leg stump, Rohit drives towards long-on"
Labuschagne to Kohli, no run," back foot punch straight to cover to this short ball, Kohli livid with himself for not placing it in the gap"
Labuschagne to Rohit, 1 run," Rohit wrists this to the right of mid-wicket, sets off, throw comes to the bowler, Ro dives to make his ground"
Labuschagne to Rohit, SIX," he missed out on a short ball first ball, he cashes in this time. Rohit goes back, waits and powers the pull shot high and handsomely over the mid-wicket boundary"
Labuschagne to Kohli, 1 run," quicker delivery just outside off stump, punched off the back foot to deeo cover and that raises the hundred for India"
Labuschagne to Kohli, 2 runs, nicely flicked along the carpet to the left of deep mid-wicket
Labuschagne to Rohit, 1 run," too short to begin with, Rohit pulls, but doesn't get the placement right, hits it wide of long-on, who tidies up"
Zampa to Rohit, 1 run," full ball from Zampa, Rohit drives to deep extra-cover"
Zampa to Kohli, 1 run, driven along the ground to deep extra-cover
Zampa to Kohli, no run," beaten! Kohli was on the front foot to defend this flighted delivery, it spun and went past the outside edge"
Finch having a chat with Zampa, no run," beaten! Kohli was on the front foot to defend this flighted delivery, it spun and went past the outside edge"
Zampa to Rohit, 1 run," oh he had to reached for that square drive, was sort of a slap through cover-point"
Zampa to Rohit, no run," really full, Rohit keeps it out"
Zampa to Kohli, 1 run," really full delivery, Kohli drives down to long-off"
Agar to Rohit, no run," slower through the air, Rohit defends"
Agar to Rohit, 2 runs, plays with an angled bat and sends it away to deep backward point
Agar to Rohit, no run," flatter delivery, Rohit covers the line and defends"
Agar to Rohit, no run," quicker delivery, Rohit defends"
Agar to Rohit, no run, Rohit plays early and pushes uppishly as this turns and takes the outer half of the bat
Agar to Rohit, no run," on the leg stump, Rohit flicks it into the on-side"
Zampa to Kohli, no run, opens the face of the bat and guides this towards short third man
Zampa to Kohli, no run," drawing Kohli forward with a full delivery, Kohli mistimes the drive towards cover"
Zampa to Rohit, 1 run, pushed away for a run
Zampa to Rohit, no run," flighted delivery on the off stump, Rohit defends off the front foot"
Zampa to Rohit, no run," skids through just outside off, Rohit gets cute with the late-cut and steers it to short third man"
Zampa to Kohli, 1 run," short and wide, cut away square of the wicket for a single"
Agar to Rohit, no run," tossed up close to off, Rohit pushes it to the left of Agar"
Agar to Rohit, no run," flighted on off-stump, Rohit plunges forward and defends it back"
Agar to Rohit, FOUR," neatly done. Flatter, fraction short and outside off, Rohit uses the space on offer and steers it late past the slip fielder, Smith does not bother chasing that down"
Agar to Rohit, no run, bit of extra bounce on this occasion and Rohit checks his block into the off-side
Agar to Rohit, no run," throws it up wider and Rohit chases after it, slices the drive towards backward point where Smith dives to stop"
Agar to Rohit, no run," slowed up and draws the batsman forward, Rohit defends it to backward point"
Zampa to Kohli, no run," flighted and lands it full, Kohli drills the drive back at Zampa who parries it to mid-wicket"
Zampa to Rohit, 1 run, dragged back length and Rohit angles it with an open bat face to the right of backward point
Zampa to Kohli, 1 run," very full and around off, Kohli brings the bottom hand into play to whip it to long-on"
Zampa to Rohit, 1 run," bit more air on this one and Rohit chips it over cover, just a single to long-off"
Rohit vs Australia in Bengaluru (ODI)209(158) 201365(55) 201750(57)* 2020, 1 run," bit more air on this one and Rohit chips it over cover, just a single to long-off"
Zampa to Rohit, no run," stifled appeal for LBW. Umpire Michael Gough is not convinced. The slider and Rohit is on the back foot, he is beaten by the skid on the ball and is rapped on the pads. The ball was sliding down leg"
Zampa to Kohli, 1 run," 90.1kph and almost in the blockhole, Kohli squeezes it out to long-on"
Agar to Kohli, 1 run, sliding on with the angle and Kohli nudges it to deep mid-wicket
Agar to Rohit, 1 run, fifty for Rohit. He did not have a score in the first two games but with the form he is in nowadays a 50+ score was not far. Raises his bat to acknowledge the applause from the crowd. Slower and Rohit eases it with the spin past cover
Agar to Rohit, no run," 89.5kph fullish delivery and Rohit knocks it towards cover, where Warner makes another fine stop"
Agar to Kohli, 1 run," fraction short and spinning away, Kohli cracks it square of the wicket"
Agar to Kohli, no run," short and turning away, Kohli chops the cut and Warner ensures the single is not taken by swooping down from cover"
Agar to Kohli, no run," tossed up on off-stump, Kohli presses forward and drops it dead near his feet"
Rohit & Kohli p'ships vs Australia in Bengaluru (ODI)- 2013: Kohli dismissed run-out with Rohit as partner- 2017: Rohit dismissed run-out with Kohli as partner, no run," tossed up on off-stump, Kohli presses forward and drops it dead near his feet"
Hazlewood to Rohit, FOUR," for once Hazlewood loses his line and Rohit puts him away. There was just a hint of width on this delivery, Rohit waits and opens the bat face to steer it behind square on the off-side, Cummins runs across from third man and even slides, all in vain"
Hazlewood to Rohit, no run," angled in from a fullish length, Rohit clips it gently to mid-wicket"
Hazlewood to Rohit, no run," back of a length close to off, Rohit is right behind the line to block it down"
Hazlewood to Rohit, no run," short of length around off, Rohit rides the bounce and pats it to backward point"
Going back to Rahul's wicket: It seemed like it was Agar who prompted Finch to go for the review. He even gestured it was straigtening. Carey was not of much help as he was moving down leg to glove the ball. But Agar was and hence his team mates mobbed him once the decision was made., no run," short of length around off, Rohit rides the bounce and pats it to backward point"
Hazlewood to Kohli, 1 run," back of a length outside off, Kohli hops and taps it square on the off-side"
Hazlewood to Rohit, leg byes," 1 run, sliding onto the pad and Rohit misses the flick, off the pad and into the on-side"
Agar to Rohit, 1 run," drifting in with the angle and Rohit eases it to long-off, retains strike"
Agar to Kohli, 1 run," flighted outside off, Kohli drives it to sweeper cover"
Agar to Kohli, no run," bit of uppish but Kohli gets away with it. He went hard on his forward push and chipped it on the bounce towards cover, Warner dives to his right to make the stop"
Agar to Rohit, 1 run," tossed up on middle, Rohit opens himself up and eases the drive to long-off"
Agar to Rahul, 1 run," throws it wider and makes Rahul reach out for it, sliced uppishly to sweeper cover"
Hazlewood to Rohit, no run," once more decks in from a length and cramps Rohit in the crease, he fends it off the inner half and the ball drops dead near his feet, Rahul does not want to risk a single"
Hazlewood to Rohit, no run, wee bit of inward movement and Rohit blocks with the bat close to the body
Hazlewood to Rahul, 1 run," 138kph short and at the body, Rahul pulls it along the ground to fine leg"
Hazlewood to Rohit, 1 run," too much inward movement and ends up on the pads, Rohit flicks to fine leg"
Hazlewood to Rohit, no run, nips back in from short of length and Rohit bunts it into the off-side
Hazlewood to Rahul, 1 run," 138.4kph good length ball around off, Rahul blocks it to the left of cover and crosses over"
Agar to Rahul, 1 run," bit of start-stop but no harm done. Rahul taps it in front of backward point and sets off, Rohit was not sure but once he started to go there was no stopping him"
Agar to Rohit, 1 run," darted in at the pads, Rohit flicks to deep backward square, for a single"
Agar to Rohit, no run," dragged back length and Rohit stays in the crease, defends it into the on-side"
Agar to Rohit, no run," flighted on and around off, Rohit pushes it back down the wicket"
Agar to Rohit, no run," tossed up around off, Rohit plays an extended forward block to cover"
Slip in place, no run," tossed up around off, Rohit plays an extended forward block to cover"
Agar to Rahul, 1 run," drifting in with the round the wicket angle, nudged away to backward square leg"
Only once Rohit scored more runs in 1st 10 overs while opening: - 43 vs SL, Pallekele,2017
